# Orbital parameters
# Apo    : Apocenter of the orbit
# Peri   : Pericenter of the orbit
# rE     : Guiding radius
# Ecc    : Eccentricity of the orbit 
# Max_Z  : Maximum vertical height
# Energy : Total energy
# Tr     : Radial period
# Tp     : Azimuthal period
# Tz     : Vertical period
# Lz     : Z-component of the angular momentum
# L      : Angular momentum
# Jacobi : Jacobi integral 
#
#
             NAME    Apo Apo_std   Peri Peri_std     rE rE_std   Ecc Ecc_std Max_Z Max_z_std     Energy Energy_std    Tr Tr_std    Tp Tp_std    Tz Tz_std       Lz  Lz_std        L    L_std      Jacobi Jacobi_std
         bochum_6  9.816   0.116  9.535    0.145  9.258  0.203 0.015   0.002 0.033     0.015 -44991.166   1090.063  0.18  0.005  0.24  0.006  0.09  0.003  2186.18  45.522   16.261 1028.917  -107898.01    220.805
     coin-gaia_25 10.832   0.028  8.522    0.014  9.693  0.021 0.119     0.0 0.031     0.002 -42705.883    107.435 0.189    0.0 0.252  0.001 0.095    0.0 2259.773   4.149   -6.056 1068.292 -107734.645     12.365
     coin-gaia_26  10.16   0.066  9.267    0.042   9.72  0.041 0.046   0.004 0.181     0.007 -42570.273      209.8  0.19  0.001 0.253  0.001   0.1  0.001 2287.654    8.26   41.337 1068.384 -108398.508      32.45
     coin-gaia_27   9.49   0.131  8.851    0.052  9.178  0.053 0.034   0.009 0.124     0.003 -45424.925    287.716 0.178  0.001 0.237  0.002 0.091  0.001 2176.974   9.986    28.54 1017.917 -108060.811     24.191
     coin-gaia_28  9.832   0.105  9.579    0.161  9.945  0.124 0.013   0.005 0.062     0.019 -41447.507    610.435 0.195  0.003  0.26  0.004 0.099  0.002 2337.659   26.14    38.56 1093.776 -108723.626    144.398
     coin-gaia_41  9.965   0.197  8.913    0.262   9.42  0.096 0.054   0.023 0.146     0.028 -44125.335    503.997 0.183  0.002 0.244  0.003 0.095  0.002 2222.308  23.109   85.619 1026.139 -108124.042    230.414
    collinder_106  9.603   0.073  9.486    0.144  9.954  0.264 0.008   0.007 0.022     0.008 -41400.309   1281.813 0.195  0.006  0.26  0.008 0.098  0.004 2337.836  56.119     5.45 1101.853 -108665.377    381.049
    collinder_107   9.58    0.02  9.058    0.169  9.485  0.151 0.028   0.009  0.01     0.007 -43784.389    787.174 0.185  0.004 0.246  0.004 0.092  0.002 2211.308  50.943   -0.996 1043.938  -107420.67    722.736
    collinder_110 10.299   0.024  9.091     0.09  9.705  0.047 0.062   0.005 0.239     0.021 -42648.321    239.254  0.19  0.001 0.253  0.001 0.104  0.002 2279.401  10.868  133.925 1038.844 -108237.529     77.333
    collinder_115 10.192   0.129  9.665    0.319  9.913  0.163 0.025   0.019 0.102     0.017 -41601.984    802.821 0.195  0.004 0.259  0.005   0.1  0.002 2331.644  35.882     59.9 1085.876 -108717.269    235.326
    collinder_185  8.887   0.205  6.819    1.087  7.865  0.554 0.132   0.078  0.08     0.009 -53371.655   3645.845 0.148  0.013   0.2  0.015 0.074  0.006  1867.74 156.491   44.698  873.563 -107126.819    907.648
    collinder_197  8.529   0.008  8.512    0.006  8.393  0.025 0.001     0.0 0.042     0.003 -49978.917    153.615  0.16  0.001 0.215  0.001 0.079    0.0 2011.974   5.569    3.623  949.935 -107879.521      8.336
    collinder_220  9.149    0.02  8.071    0.005  8.616   0.01 0.063   0.001 0.142     0.016 -48626.167     60.994 0.165    0.0 0.221    0.0 0.084  0.001 2051.847   1.765    82.02  943.032 -107674.388     14.574
    collinder_258  9.159   0.048  7.801     0.01  8.487  0.029  0.08   0.002 0.076     0.002  -49401.12    177.708 0.162  0.001 0.218  0.001 0.081    0.0 2021.016   5.695   -6.355  958.476 -107561.252     14.287
    collinder_261  7.555   0.103  7.219    0.042  7.409  0.062 0.023   0.006 0.493     0.031 -56562.077    453.622 0.139  0.001 0.188  0.002 0.085  0.002 1775.802  13.845  189.625   761.41 -107666.206     86.208
    collinder_268  7.869    0.09   7.19    0.043  7.537  0.064 0.045   0.003 0.222     0.009 -55641.174    458.605 0.141  0.001 0.191  0.002 0.074  0.001 1817.798  14.123     14.2   877.27 -107946.299     53.994
    collinder_269  8.543   0.739  7.471    0.189  8.012  0.432 0.067   0.036 0.101     0.009 -52395.009   2813.402 0.152   0.01 0.204  0.012 0.076  0.005 1921.715  83.321    29.64  893.253 -107706.619    428.147
    collinder_271   7.28   0.065  7.122    0.024  7.176  0.055 0.011   0.003 0.051     0.002 -58299.095     419.29 0.133  0.001 0.181  0.001 0.065  0.001 1745.006  12.328   10.142  822.058 -108513.479      64.63
    collinder_272  7.887   0.044  7.403    0.017  7.243  0.162 0.032   0.003  0.07     0.006 -57795.561   1212.494 0.135  0.004 0.183  0.004 0.066  0.002 1745.955  40.458   24.444  820.065 -108037.958     59.728
    collinder_277  7.885   0.021   6.64    0.038   7.27  0.026 0.086   0.002 0.105     0.006 -57586.896    192.932 0.135  0.001 0.184  0.001 0.067    0.0 1753.485   6.236    36.36   812.02   -108048.1      20.68
    collinder_292  7.427   0.088  6.961    0.051  7.197  0.068 0.033   0.003 0.096     0.005 -58137.362    519.376 0.134  0.002 0.182  0.002 0.066  0.001 1747.653  15.149    6.827  834.607 -108426.928     83.733
    collinder_307  7.464   0.121  6.758    0.049  7.115  0.084  0.05   0.005 0.067     0.008 -58767.599    649.794 0.132  0.002  0.18  0.002 0.065  0.001 1727.388  18.314   27.408   804.11 -108476.678    123.203
    collinder_338  8.727   0.056  7.647    0.021  8.192  0.025 0.066   0.004 0.018     0.004 -51235.002    158.044 0.156  0.001 0.209  0.001 0.077    0.0 1961.881   4.651    7.374  922.341 -107690.277     30.581
     collinder_74 10.754   0.106  9.597    0.069 10.187  0.075 0.057   0.005 0.393     0.018 -40275.331    357.301 0.201  0.002 0.267  0.002  0.12  0.002 2375.279  14.674   82.002 1113.377 -108638.899     74.607
     collinder_95  8.956   0.019   8.92    0.011  8.865  0.054 0.002   0.001 0.057     0.004 -47173.168    310.203 0.171  0.001 0.228  0.002 0.086  0.001 2112.577  11.245   48.656  986.402 -107965.285      20.48
       czernik_23 11.381   0.213 11.162    0.177 11.277  0.186 0.009   0.005 0.136     0.028 -35401.071    779.851 0.225  0.004 0.299  0.006  0.12  0.004 2613.796  37.585   63.594 1222.295 -110621.761    302.156
       czernik_24 11.896   0.295  9.519    0.208 10.727  0.168  0.11   0.018 0.308     0.079 -37779.083    746.106 0.213  0.004 0.283  0.005 0.123  0.008 2468.955  31.465   151.75 1123.611 -108866.655    291.271
       czernik_25 11.093   0.123 10.103    0.104   10.6  0.102 0.047   0.005 0.168     0.008 -38352.798    461.737  0.21  0.002 0.279  0.003 0.112  0.002 2469.684  20.734     34.2 1164.087 -109433.979    137.032
