# RV   : Radial velocity
# Vphi : Velocity in galactocentric phi coordinate
# Vz   : Velocity in galactocentric z coordinate
# Vrho : Velocity in galactocentric r coordinate
# N_rv : Number of member stars with radial velocity estimation
#
             NAME     RV RV_std    Vphi Vphi_std     Vz Vz_std     Vrho Vrho_std N_rv
         fsr_1452  19.41   0.32 -240.87     0.42  -4.41   0.91  -10.361    0.848    3
         fsr_1509  25.94  12.68 -224.04    12.09  -0.38   3.21  -28.148    4.896    3
         fsr_1586  -4.38   0.92 -234.02     0.91  -0.48   1.56  -13.864    1.604    1
         fsr_1591 -40.36   9.59 -268.42     9.58    5.8   1.48  -14.239     1.57    2
         fsr_1595 -11.85   0.59 -237.33     0.67    0.1   1.66    0.687    1.897    1
         fsr_1663 -28.49   1.98 -239.28     1.87 -10.96   0.78  -10.639    1.034    2
         fsr_1750  -34.4  33.58 -247.24     8.67   5.27   1.19   17.709     32.2    3
           gaia_1  59.39  12.32 -230.74     6.71   9.92   3.61  -19.897   10.675    6
         graham_1   3.88   1.74 -229.35     1.75  -3.74   0.92   -6.969     0.79    0
       gulliver_1 -20.68   0.72 -259.85     0.71   1.08   0.98   18.037     0.98    9
      gulliver_10  37.74    0.0 -220.89      0.2   3.27   0.49     1.22    0.502    2
      gulliver_13  56.84   0.99  -223.3     0.93 -14.67   0.73   10.315    0.948    4
      gulliver_14  -13.4    0.1  -220.0     0.61   9.24   0.58    1.721    0.146    2
      gulliver_21  39.84   0.65 -227.37     0.57   2.31   0.36    7.968     0.48   11
      gulliver_27   17.5   1.97 -232.68     2.04   2.18   0.89  -14.983    0.916    1
      gulliver_32  40.24   1.28 -254.83     0.73   8.52   0.56   16.106    1.205    1
      gulliver_34   27.9   1.96 -206.03      1.9   6.11   0.96   -1.124    1.117    2
      gulliver_35  86.46   2.66 -159.09     2.63  -6.19   0.66   10.077    0.688    0
      gulliver_36  10.22   0.41 -240.69     0.43   8.23   0.38  -38.357    0.428    1
      gulliver_39 -15.99   0.25 -253.16     0.25  -2.12   0.71  -30.566    0.702    2
       gulliver_4  51.37   2.39 -223.84     2.08  -4.55   0.61   -8.202    1.366    1
      gulliver_44  15.45   0.45 -238.53      0.5  12.05   0.68  -26.402    0.736    4
      gulliver_45 135.26   1.13 -228.18     2.01  20.94   1.87   92.147    1.337    0
      gulliver_46 -35.58    1.1 -249.35     1.12  -2.75   1.37    1.581    2.408    1
      gulliver_47  47.47   0.79 -230.14     0.86  -5.98   0.86      6.6    0.828    3
       gulliver_5  36.02   0.72 -230.12     0.75  -0.55   0.83    6.478    0.827    1
      gulliver_52  -15.6   0.35 -253.61     0.36  -1.61    0.8  -25.958    0.824    1
      gulliver_56  30.58   5.56 -221.18     0.88   0.22    0.9   13.393    5.557    3
      gulliver_57   19.9   0.53 -233.57     0.52  -2.37   0.61   -0.618    0.595    1
      gulliver_58  -1.87   1.39 -233.58     1.32   3.16   1.14  -34.887    1.144    4
       gulliver_7  55.66    1.2 -209.97     1.35  -0.26   1.72  -19.627    1.546    1
       haffner_10  86.27   1.07 -211.91     1.15   5.21   1.13   18.493    1.105    1
       haffner_11  98.93   0.32 -225.93     1.72   6.34   1.78   22.531    1.525    2
       haffner_13  33.34   0.73 -232.48      0.7  -1.25   0.52    8.716    0.526    6
       haffner_14  70.87   1.65 -215.71     1.41  -7.64   0.95  -10.885    1.325    4
       haffner_15  52.95   0.42 -232.21     0.83   0.41    1.1   -4.531    0.994    1
       haffner_16  43.64   0.99 -247.28      1.0  -4.22   1.02   -4.925    1.042    0
       haffner_17   41.4    0.9 -225.91     0.95   4.82   1.07  -29.647    1.065    5
       haffner_18  92.28   2.76 -212.24     2.18  -4.82   1.24   21.245    2.151    0
       haffner_20  69.48   0.64 -231.24      1.1   3.63   1.37    7.093    1.211    1
       haffner_22  33.23   0.16 -240.79      0.5  12.51   0.74  -21.032    0.619   19
       haffner_26  55.09   0.46 -217.65     0.49  10.16    0.6  -15.674    0.543    5
        haffner_3   54.3   0.24 -216.97     1.01 -10.52    1.1   -5.825    0.678    2
        haffner_4  57.05   0.54  -225.1     0.96   5.07   1.19  -15.057    0.741    1
        haffner_5  -6.94   0.52 -232.19     0.55   0.05   0.58  -76.238    0.654    7
        haffner_6  77.18  22.15 -235.06     12.2   4.45   1.24   12.706     18.5    4
        haffner_7  88.13   3.46 -218.63     2.56  -3.11   1.31   14.211    2.648    1
        haffner_8  60.81    0.0  -221.1     0.81  -6.31    0.9   -0.585    0.606    2
       harvard_10  -14.5    2.3 -235.61     1.34 -11.76   0.66    6.507    1.975   19
       harvard_13  -4.21   0.46 -215.52     0.72  -3.81   0.65   -4.037    0.491   21
       harvard_16 -17.89   0.28 -248.49     0.71   8.54   0.75    0.408    0.308    1
          hogg_15 -23.09   1.37  -238.4     1.35  -1.21   1.27  -10.624    0.994    0
          hogg_17  -35.4  10.61 -245.57     9.22   5.84   0.95    4.146    5.975    5
          hogg_21 -48.78  14.58 -249.73     7.54   1.11   1.07    6.653   13.042    0
           hogg_4  26.58   0.31 -227.06     0.39   15.1   1.08    1.249     1.08    6
